property,niche_ranking,name,location,in_state_tuition,out_state_tuition,earning_two_years,earning_six_years,male_famle_rate,student_population,net_price,academics,athletics,dorms,student_life,campus,party,location,food,safety,campus_life,engineering_subject,business_subject,computer_science_subject,art_subject,acceptance_rate,sat_scores,QS_ranking,QS_overall,academic reputation,citation_per_faculty,employer_reputation
Public,58,College of William & Mary,VA,16370,37425,42600,56400,43/57,6217,"$14,310 ",A+,B+,C+,A,B,B-,C+,B-,B,5.75,#N/A,26,63,63,34,1260-1460,58,66,75,70,71
Public,40,University of North Carolina at Chapel Hill,NC,8834,33916,38600,50400,41/59,17645,"$10,785 ",A+,A+,B-,A+,A,A+,A,A-,C+,8.13,87,19,34,64,31,1220-1430,26,67.8,77.5,61.5,48.1
Public,32,University of Virginia,VA,16412,45756,44900,58600,45/55,15607,"$14,539 ",A+,A+,B,A+,A-,A+,A,C+,B-,7.75,37,16,31,65,30,1250-1460,43,50.3,47.7,53.3,49.2
Public,68,University of Georgia,GA,9364,27574,36900,46500,43/57,25906,"$13,280 ",A,A+,B,A+,A+,A+,A+,A+,C+,8.75,122,17,86,68,53,1150-1330,79,66,30.7,36,71
public,82,University of California - Santa Barbara,CA,14073,40755,34800,52000,47/53,20243,"$16,211 ",A,B+,B+,A+,A,A+,A-,A,C+,8.00,68,#N/A,73,69,33,1090-1360,36,56.9,75.7,97.5,71
Public,59,University of Wisconsin,WI,10488,32738,40400,51000,47/53,28555,"$16,060 ",A,A+,B,A+,A,A+,A,A,B-,8.50,42,25,43,74,58,1190-1410,21,75.8,94,54.2,62.1
private,87,University of Miami,FL,47004,47004,43200,52400,49/51,10459,"$35,444 ",A+,A+,C+,A+,B+,A+,A,C+,B-,7.38,80,29,96,77,38,1200-1390,57,41.2,75,46.5,71
private,84,Brigham Young University,UT,5300,5300,37400,57400,53/47,27339,"$12,900 ",A+,A,A,A+,A+,C+,B+,A,A,8.38,59,37,78,78,48,1150-1360,84,66,75,70,71
public,92,University of Washington,WA,10753,34791,41300,52100,47/53,28377,"$9,744 ",A,A+,B,A+,A,A,A,A-,B-,8.25,76,61,45,90,53,1120-1370,22,72.9,92.3,98.8,56.7
public,85,University of Minnesota - Twin Cities,MN,14142,23806,38400,47800,48/52,29168,"$15,371 ",A+,A+,C+,A+,A-,A,A,B,C+,7.50,47,55,56,96,45,1180-1440,40,52.2,76.8,63.1,34.9
public,81,Penn State,PA,17900,32382,37100,37500,53/47,39520,"$24,992 ",A,A+,C+,A+,A,A+,A,A-,B-,8.13,52,42,49,98,51,1090-1300,30,65.2,84.6,80.2,75.1
public,83,Ohio State University,OH,10037,28299,33800,42600,52/48,41117,"$18,502 ",A+,A+,B-,A+,A,A+,A,A,C+,8.25,40,36,106,102,49,1170-1390,28,66.1,75.3,40.3,60.6
Public,39,Virginia Tech,VA,12852,29975,44300,57900,57/43,24841,"$18,398 ",A,A+,B+,A+,A+,A,A,A+,B+,9.00,25,47,36,107,73,1100-1320,70,32.9,33.2,44.1,40.4
public,90,Michigan State University,MI,14062,37890,38800,49800,49/51,35645,"$14,601 ",A,A+,B+,A+,A+,A+,A-,A,C+,8.50,94,63,76,116,66,980-1260,39,54.3,68.6,59.5,60.7
public,96,University of Maryland - College Park,MD,10181,32045,45600,59100,53/47,25410,"$14,697 ",A,A+,C,A+,B+,A+,B+,B,B-,7.25,57,46,42,140,45,1210-1420,96,66,75,70,71
Public,61,University of Illinois at Urbana-Champaign,IL,15058,30680,42800,56600,56/44,31989,"$16,841 ",A+,A+,B-,A+,A,A+,B,A-,B-,7.88,19,48,17,443,66,1270-1470,24,70.3,95.1,93.5,59.8
public,77,Purdue University,IN,10002,28804,40800,52600,58/42,28682,"$11,643 ",A,A+,B,A+,A,A,B,A+,B,8.25,23,74,47,445,59,1080-1330,32,63.2,73.7,58,70.7
public,100,Clemson University,SC,14708,34590,37600,49400,53/47,17238,"$16,622 ",A,A+,B-,A+,A,A,A-,B+,B-,7.88,53,50,119,456,51,1150-1350,100,66,75,70,71
Private,55,Boston College,MA,51296,51296,52600,67000,47/53,9541,"$26,284 ",A+,A+,C-,A,B-,A,A-,B-,B,6.75,#N/A,24,74,485,29,1260-1470,65,34.7,29.9,43.4,38.2
Private,16,University of Notre Dame,IN,49685,49685,58700,69400,52/48,8450,"$26,698 ",A+,A+,A,A+,A+,A-,C+,A,C+,8.00,13,6,33,514,20,1350-1530,52,45.9,36.3,72,34.1
Private,3,Harvard University,MA,47074,47074,72300,87200,53/47,7183,"$15,742 ",A+,B,A,A+,A,A-,A,B,B,7.88,8,#N/A,4,543,6,1400-1600,3,98.4,100,99.9,100
Private,24,Georgetown University,DC,50547,50547,66000,83300,45/55,7175,"$26,749 ",A+,B+,C+,A+,B-,A,A,B-,C+,6.63,#N/A,4,29,544,17,1320-1500,53,43.8,41.8,27.5,53.2
Private,1,Stanford University,CA,47940,47940,73900,80900,52/48,7000,"$19,245 ",A+,A+,A,A+,A+,B+,B,A+,B-,8.38,2,1188,2,550,5,1390-1580,2,98.7,100,99.4,100
Private,13,Vanderbilt University,TN,45610,45610,47200,60900,50/50,6822,"$22,937 ",A+,A+,B,A+,A+,A+,A,A+,C+,8.63,20,#N/A,11,558,12,1430-1590,50,46.5,35.8,33.4,71
Private,14,Washington University in St. Louis,MO,49770,49770,50200,62300,49/51,6819,"$33,261 ",A+,B+,A+,A+,A+,A-,A,A+,B,8.75,24,5,22,559,17,1400-1550,31,64.6,51,78.3,71
Private,12,Duke University,NC,51265,51265,66900,76700,51/49,6611,"$21,295 ",A+,A+,B,A+,A,A-,B-,B+,C+,7.38,9,#N/A,23,568,11,1360-1550,12,87,94,91.4,78.1
private,73,Tulane University,LA,51010,51010,43900,52400,42/58,6331,"$32,075 ",A+,A-,C+,A+,B+,A+,A,B,C,7.13,95,30,69,578,31,1240-1410,86,66,75,70,71
